CustomerKey,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11091,04/04/1957,M,M,90000,2,Partial College,Professional,Y
11092,06/05/1967,M,F,90000,2,Bachelors,Professional,Y
11093,10/09/1967,M,F,100000,0,Graduate Degree,Management,Y
11094,01/04/1962,S,M,70000,1,Partial College,Skilled Manual,N
11095,01/09/1962,S,M,70000,1,Partial College,Skilled Manual,Y
11096,10/08/1962,M,M,60000,1,Bachelors,Professional,Y
11097,27/10/1961,M,M,60000,1,Partial College,Skilled Manual,Y
11098,01/05/1961,S,F,60000,1,Partial College,Skilled Manual,N
11099,08/03/1961,M,M,60000,1,Bachelors,Professional,Y
11100,15/09/1960,S,F,60000,1,Partial College,Skilled Manual,Y
11101,08/05/1965,S,F,70000,0,Bachelors,Professional,N
11102,21/04/1965,S,F,80000,5,Bachelors,Professional,Y
11103,17/10/1964,S,F,70000,0,Bachelors,Professional,Y
11104,11/03/1964,M,M,70000,0,Bachelors,Professional,N
11105,28/12/1964,S,F,70000,0,Bachelors,Professional,N
11106,11/09/1964,S,M,70000,0,Bachelors,Professional,N
11107,09/09/1959,M,F,90000,1,Bachelors,Professional,Y
11108,14/07/1963,S,F,70000,0,Bachelors,Professional,N
11109,05/11/1963,S,M,70000,0,Bachelors,Professional,N
11110,06/06/1962,M,M,60000,1,Partial College,Skilled Manual,Y
11111,23/02/1962,M,F,60000,1,Partial College,Skilled Manual,Y
11112,09/09/1962,M,F,60000,1,Partial College,Skilled Manual,Y
11113,21/02/1962,M,M,70000,5,Bachelors,Professional,Y
11114,28/05/1962,S,F,70000,5,Partial College,Skilled Manual,Y
11115,12/02/1962,M,M,70000,5,Partial College,Skilled Manual,Y
11116,07/10/1962,M,M,70000,5,Partial College,Skilled Manual,Y
11117,21/02/1961,M,F,70000,5,Partial College,Skilled Manual,Y
11118,03/07/1957,S,M,80000,1,Partial College,Skilled Manual,N
11119,10/04/1935,S,M,30000,2,Partial College,Clerical,N
11121,18/11/1960,M,M,70000,5,Partial College,Skilled Manual,Y
11122,02/04/1960,M,M,70000,5,Partial College,Skilled Manual,Y
11123,20/06/1960,M,M,70000,5,Partial College,Skilled Manual,Y
11124,27/07/1957,S,M,80000,1,Partial College,Skilled Manual,Y
11125,08/04/1956,S,F,70000,1,Partial College,Skilled Manual,Y
11126,07/04/1949,M,M,10000,2,High School,Skilled Manual,N
11127,21/10/1975,M,F,40000,0,High School,Skilled Manual,Y
11128,05/12/1975,M,F,40000,0,High School,Skilled Manual,Y
11129,05/08/1975,S,F,40000,0,High School,Skilled Manual,Y
11130,06/01/1980,M,F,30000,0,High School,Skilled Manual,Y
11131,12/03/1980,M,F,30000,0,High School,Skilled Manual,N
11132,26/10/1980,S,F,30000,0,High School,Skilled Manual,N
11133,08/09/1980,S,F,30000,0,Partial High School,Clerical,N
11134,26/02/1946,S,M,10000,5,High School,Skilled Manual,Y
11135,03/11/1979,S,M,30000,0,Partial High School,Clerical,N
11136,26/10/1978,S,F,40000,0,High School,Skilled Manual,N
11137,20/07/1978,M,F,40000,0,High School,Skilled Manual,Y
11138,15/09/1978,M,F,40000,0,High School,Skilled Manual,N
11139,09/11/1938,S,F,30000,2,Partial College,Clerical,N
11140,11/02/1977,S,M,30000,0,Partial High School,Clerical,N
11141,21/06/1977,M,F,40000,0,High School,Skilled Manual,N
11142,14/08/1977,S,M,40000,0,High School,Skilled Manual,N
11143,04/02/1977,M,M,40000,0,High School,Skilled Manual,Y
11144,09/09/1979,S,M,40000,0,High School,Skilled Manual,N
11145,08/12/1979,S,F,40000,0,High School,Skilled Manual,N
11146,26/08/1939,S,F,40000,2,Bachelors,Management,Y
11147,05/02/1939,M,M,60000,2,Graduate Degree,Management,Y
11148,16/08/1941,M,M,40000,2,Bachelors,Management,Y
11149,20/04/1941,M,M,40000,2,Bachelors,Management,Y
11150,15/03/1941,S,M,40000,2,Bachelors,Management,Y
11151,25/02/1942,S,F,60000,2,Graduate Degree,Management,N
11152,10/01/1976,S,M,40000,0,High School,Skilled Manual,Y
11153,23/06/1976,M,F,40000,0,High School,Skilled Manual,Y
11154,21/08/1976,S,F,40000,0,Partial College,Skilled Manual,Y
11155,26/01/1976,S,M,40000,0,Partial College,Skilled Manual,N
11156,07/02/1976,S,F,40000,0,Partial College,Skilled Manual,N
11157,11/06/1975,M,F,40000,0,High School,Skilled Manual,Y
11158,08/10/1975,S,M,40000,0,High School,Skilled Manual,Y
11159,17/09/1975,S,F,40000,0,High School,Skilled Manual,N
11160,08/01/1974,S,M,40000,0,Partial College,Skilled Manual,N
11161,22/04/1974,S,F,40000,0,Partial College,Skilled Manual,N
11162,05/03/1974,S,M,40000,0,Partial College,Skilled Manual,Y
11163,20/12/1974,M,M,40000,0,Partial College,Skilled Manual,Y
11164,05/05/1974,S,M,40000,0,Partial College,Skilled Manual,N
11165,18/07/1973,M,F,60000,0,Partial College,Skilled Manual,N
11166,24/04/1972,S,F,70000,0,Partial College,Skilled Manual,N
11167,01/08/1972,S,F,80000,0,Bachelors,Management,N
11168,15/05/1968,S,M,80000,0,Bachelors,Management,N
11169,22/06/1968,M,M,90000,4,Bachelors,Management,Y
11170,05/02/1968,M,F,90000,4,Bachelors,Management,Y
11171,09/10/1967,S,M,100000,1,Bachelors,Management,Y
11172,21/11/1967,M,F,100000,1,Bachelors,Management,Y
11173,01/09/1967,S,F,110000,0,Graduate Degree,Management,N
11174,13/07/1967,M,M,110000,0,Graduate Degree,Management,Y
11175,05/03/1963,S,M,70000,0,Partial College,Skilled Manual,Y
11176,25/01/1968,M,M,90000,4,Bachelors,Management,Y
11177,04/07/1942,M,M,110000,2,Graduate Degree,Management,Y
11178,24/08/1943,M,M,100000,2,Graduate Degree,Management,Y
11179,14/06/1943,M,F,120000,2,Graduate Degree,Management,Y
11180,02/01/1943,M,F,160000,1,Bachelors,Management,Y
11181,08/08/1943,M,M,170000,2,Graduate Degree,Management,Y
11182,25/08/1944,S,F,70000,4,Bachelors,Management,Y
11183,15/07/1944,S,F,70000,4,Bachelors,Management,Y
11184,16/11/1944,S,F,70000,4,Bachelors,Management,Y
11185,08/10/1944,S,F,70000,4,Bachelors,Management,Y
11186,21/05/1944,S,F,70000,4,Bachelors,Management,Y
11187,22/02/1944,M,F,60000,4,Graduate Degree,Management,Y
11188,06/09/1944,M,F,60000,4,Graduate Degree,Management,N
11190,22/06/1944,M,M,70000,5,Bachelors,Management,Y
11191,18/12/1945,S,F,70000,5,Bachelors,Management,Y
11192,13/09/1945,M,M,60000,4,Bachelors,Management,Y
11193,13/02/1945,M,M,60000,4,Bachelors,Management,Y
11194,10/06/1945,M,F,60000,4,Bachelors,Management,Y
11195,10/02/1946,M,F,60000,5,Bachelors,Management,Y
11196,07/06/1946,M,M,60000,5,Bachelors,Management,Y
11197,18/06/1946,M,F,70000,3,Bachelors,Management,N
11198,26/11/1946,S,F,70000,4,Bachelors,Management,Y
11199,06/11/1946,M,F,70000,4,Bachelors,Management,Y
11200,22/11/1947,M,M,70000,4,Bachelors,Management,Y
11201,18/08/1947,M,F,70000,4,Bachelors,Management,Y
11202,26/08/1947,M,F,80000,5,Bachelors,Management,N
11203,21/08/1948,M,M,40000,2,High School,Professional,Y
11205,24/07/1948,M,F,40000,2,High School,Professional,Y
11206,24/09/1948,M,M,60000,2,Partial College,Professional,Y
11207,19/07/1948,S,F,60000,2,Partial College,Professional,Y
11208,04/02/1948,M,F,60000,2,Bachelors,Management,Y
11209,13/01/1948,M,F,60000,2,Bachelors,Management,Y
11210,08/06/1948,M,M,70000,4,Partial College,Professional,Y
11211,12/10/1949,M,F,40000,2,High School,Professional,Y
11212,05/11/1949,M,F,40000,2,High School,Professional,Y
11213,14/05/1949,S,F,60000,2,Partial College,Professional,Y
11214,07/11/1949,S,M,60000,2,Partial College,Professional,Y
11215,21/06/1950,M,F,40000,2,Partial High School,Skilled Manual,Y
11216,20/05/1950,S,F,60000,2,Partial College,Professional,Y
11217,11/02/1950,S,F,60000,2,Partial College,Professional,Y
11218,11/09/1950,S,F,60000,2,Partial College,Professional,N
11219,02/12/1950,M,M,60000,2,High School,Professional,Y
11220,23/02/1950,M,F,60000,2,Partial College,Professional,Y
11221,10/06/1950,M,M,70000,4,Partial College,Professional,Y
11222,17/08/1950,M,F,80000,3,Bachelors,Management,Y
11223,16/09/1951,S,F,70000,2,High School,Professional,Y
11224,06/09/1951,S,F,70000,2,High School,Professional,Y
11226,27/09/1951,M,F,60000,2,Partial College,Professional,Y
11227,12/08/1951,S,M,60000,2,Partial College,Professional,Y
11228,19/04/1951,M,F,60000,2,Partial College,Professional,Y
11229,03/12/1951,S,M,70000,4,Partial College,Professional,Y
11230,03/04/1951,M,F,70000,4,Partial College,Professional,N
11231,14/11/1952,M,M,60000,2,High School,Professional,Y
11232,27/09/1952,M,F,60000,3,High School,Professional,N
11233,09/09/1952,M,M,70000,4,Partial College,Professional,Y
11234,19/11/1952,S,NA,70000,4,Partial College,Professional,Y
11235,08/02/1952,M,M,70000,4,Partial College,Professional,Y
11236,05/03/1952,S,M,70000,5,Partial College,Professional,Y
11237,23/09/1958,S,M,130000,2,Bachelors,Management,N
11238,10/08/1958,S,F,130000,2,Bachelors,Management,N
11239,06/10/1958,M,F,130000,2,Partial College,Professional,N
11240,11/12/1958,M,F,160000,2,Partial College,Professional,Y
11241,11/10/1957,S,F,100000,2,Partial College,Professional,Y
11242,11/11/1957,M,M,110000,2,Partial College,Professional,Y
11243,09/10/1957,M,F,150000,2,Partial College,Professional,Y
11244,26/11/1957,S,F,170000,2,Bachelors,Management,N
11245,27/10/1956,M,M,120000,3,High School,Professional,N
11247,06/06/1956,S,F,130000,3,Partial College,Professional,N
11248,26/03/1955,M,M,110000,3,Partial College,Professional,Y
11249,13/07/1955,M,F,130000,3,Partial College,Professional,Y
11250,12/03/1955,M,F,170000,3,High School,Professional,Y
11251,04/07/1932,S,M,30000,4,High School,Professional,N
11252,07/06/1932,S,M,90000,3,Graduate Degree,Management,Y
11253,28/02/1933,M,M,60000,2,Graduate Degree,Management,Y
11254,03/03/1933,M,M,70000,4,Graduate Degree,Management,Y
11255,04/04/1933,M,M,70000,4,Graduate Degree,Management,Y
11256,20/09/1933,M,F,70000,4,Graduate Degree,Management,Y
11257,06/01/1933,S,F,120000,1,Graduate Degree,Management,Y
11258,28/06/1933,M,M,120000,1,Graduate Degree,Management,Y
11259,27/03/1965,M,F,100000,4,Partial College,Professional,Y
11260,12/04/1965,M,F,110000,2,Bachelors,Management,Y
11261,24/04/1965,M,F,130000,1,Graduate Degree,Management,Y
11262,04/05/1964,M,F,80000,4,Bachelors,Management,Y
11263,11/09/1964,M,F,90000,5,Partial College,Professional,Y
11264,17/06/1964,S,M,90000,5,Partial College,Professional,N
11265,13/07/1964,M,F,90000,5,Partial College,Professional,Y
11266,05/05/1964,S,F,90000,0,Partial College,Professional,N
11267,02/10/1964,S,M,120000,4,Partial College,Professional,Y
11268,03/05/1964,M,F,130000,2,Graduate Degree,Management,Y
11269,13/10/1964,M,M,130000,2,Graduate Degree,Management,Y
11270,04/05/1964,M,M,130000,2,Graduate Degree,Management,Y
11271,05/06/1964,S,F,150000,2,Bachelors,Management,N
11272,10/11/1956,S,F,70000,4,Partial College,Professional,Y
11273,01/10/1956,M,M,90000,2,Partial College,Professional,Y
11274,12/04/1934,M,M,50000,2,Graduate Degree,Management,Y
11275,18/01/1934,M,F,80000,4,Graduate Degree,Management,Y
11276,19/09/1963,M,F,80000,4,Partial College,Professional,Y
11277,10/06/1963,M,M,80000,4,Partial College,Professional,Y
11278,20/08/1963,S,M,90000,0,Partial College,Professional,N
11279,12/09/1963,M,F,90000,0,Partial College,Professional,Y
11280,21/08/1963,M,M,90000,0,Partial College,Professional,Y
11281,10/10/1963,S,F,110000,4,Bachelors,Management,Y
11282,16/01/1962,M,M,90000,5,Partial College,Professional,Y
11283,26/10/1962,M,M,110000,1,Bachelors,Management,Y
11284,27/03/1962,M,F,110000,1,Bachelors,Management,Y
11285,19/03/1962,M,M,120000,1,Partial College,Professional,N
11286,03/03/1962,M,M,170000,0,Graduate Degree,Management,Y
11287,16/01/1961,M,M,70000,5,Partial College,Professional,N
11288,16/09/1961,M,F,110000,1,Bachelors,Management,Y
11289,07/03/1961,M,F,130000,1,Bachelors,Management,Y
11290,18/08/1961,M,F,130000,1,Bachelors,Management,Y
11291,05/05/1961,M,F,130000,1,Bachelors,Management,Y
11292,05/11/1961,S,M,150000,1,Partial College,Professional,N
11293,27/05/1955,S,M,60000,2,High School,Professional,N
11294,03/09/1955,M,M,60000,2,High School,Professional,N
11295,16/05/1954,S,F,80000,2,Partial High School,Skilled Manual,Y
11296,07/10/1935,S,F,50000,2,Graduate Degree,Management,Y
11297,02/02/1935,S,M,70000,4,Graduate Degree,Management,Y
11298,03/03/1935,M,M,70000,4,Graduate Degree,Management,Y
11299,01/04/1936,M,M,70000,4,Graduate Degree,Management,Y
11300,03/03/1960,M,M,80000,5,Partial College,Professional,N
11301,09/06/1960,M,M,80000,5,Partial College,Professional,Y
11302,12/12/1960,S,M,90000,4,High School,Professional,N
11303,11/10/1960,S,F,90000,4,High School,Professional,N
11304,17/03/1960,M,F,100000,0,Partial College,Professional,Y
11305,19/06/1960,M,M,110000,3,Partial College,Professional,N
11306,22/06/1960,M,M,110000,3,Partial College,Professional,N
11307,04/11/1954,M,M,80000,2,Partial High School,Skilled Manual,Y
11308,05/03/1954,M,M,60000,2,High School,Professional,N
11309,12/06/1954,S,F,60000,2,High School,Professional,Y
11310,09/07/1953,S,F,70000,3,Graduate Degree,Management,Y
11311,24/08/1953,S,F,70000,3,Graduate Degree,Management,N
11312,03/04/1953,S,F,70000,3,Graduate Degree,Management,Y
11313,27/02/1953,S,M,70000,3,Graduate Degree,Management,Y
11315,01/10/1953,S,F,70000,3,Graduate Degree,Management,N
11316,17/11/1953,M,M,60000,3,Graduate Degree,Management,Y
11317,17/09/1952,S,F,40000,3,Partial College,Professional,N
11318,26/10/1952,S,F,40000,3,Partial College,Professional,N
11319,27/04/1937,M,F,70000,4,Graduate Degree,Management,N
11320,26/06/1937,M,F,80000,4,Graduate Degree,Management,Y
11321,08/07/1938,M,M,90000,5,Bachelors,Management,Y
11322,15/03/1938,M,F,90000,5,Bachelors,Management,Y
11323,20/06/1938,S,M,120000,2,Graduate Degree,Management,Y
11324,14/05/1939,M,M,90000,5,Bachelors,Management,Y
11325,02/07/1939,S,M,90000,5,Bachelors,Management,Y
11326,26/06/1939,M,M,130000,2,Bachelors,Management,Y
11327,04/03/1940,M,M,90000,5,Bachelors,Management,Y
11328,01/01/1940,M,M,90000,5,Bachelors,Management,Y
11329,25/07/1940,S,M,90000,5,Bachelors,Management,Y
11330,13/05/1940,M,M,110000,2,Graduate Degree,Management,Y
11331,06/07/1968,M,F,90000,4,Partial College,Skilled Manual,Y
11332,04/10/1962,S,F,10000,1,Graduate Degree,Manual,Y
11333,10/07/1962,M,F,20000,1,Graduate Degree,Clerical,Y
11334,22/03/1961,M,F,10000,1,Bachelors,Manual,Y
11335,24/06/1961,M,F,10000,1,Bachelors,Manual,Y
11336,12/03/1962,M,M,20000,1,Graduate Degree,Clerical,Y
11337,21/09/1961,M,M,10000,1,Bachelors,Manual,Y
11338,10/08/1961,M,M,20000,1,Graduate Degree,Clerical,Y
11339,08/07/1961,S,M,20000,1,Graduate Degree,Clerical,Y
11340,06/04/1936,M,F,10000,1,Graduate Degree,Clerical,Y
11341,21/08/1936,M,M,20000,1,Graduate Degree,Clerical,Y
11342,11/03/1962,M,M,30000,5,Graduate Degree,Clerical,Y
11343,13/09/1958,M,M,10000,1,Bachelors,Manual,Y
11344,24/07/1957,M,F,10000,1,Partial College,Manual,Y
11345,12/03/1957,S,F,10000,1,Partial College,Manual,Y
11346,22/05/1955,S,F,10000,2,Partial College,Manual,Y
11347,23/12/1955,M,M,10000,2,Partial College,Manual,Y
11348,22/09/1955,M,M,10000,2,Partial College,Manual,Y
11349,03/09/1954,M,F,10000,2,Partial College,Manual,Y
11350,14/01/1937,M,F,30000,1,Graduate Degree,Clerical,Y
11351,06/04/1939,S,F,20000,1,Bachelors,Clerical,Y
11352,07/03/1940,M,M,10000,2,Partial College,Manual,Y
11353,11/06/1941,S,F,30000,1,Bachelors,Clerical,Y
11354,23/02/1942,M,F,20000,1,Partial College,Manual,Y
11355,28/12/1942,M,M,40000,1,Graduate Degree,Clerical,Y
11356,27/05/1980,S,M,10000,0,Partial College,Manual,N
11357,23/03/1979,S,M,10000,0,Partial College,Manual,N
11358,11/11/1978,S,F,10000,0,Partial College,Manual,N
11359,04/09/1978,S,M,10000,0,Partial College,Manual,N
11360,02/08/1978,S,M,10000,0,Partial College,Manual,Y
11361,28/04/1977,M,F,10000,0,High School,Manual,Y
11362,11/11/1977,M,M,10000,0,High School,Manual,N
11363,20/10/1977,S,M,10000,0,High School,Manual,N
11365,09/06/1979,S,F,10000,1,High School,Manual,N
11366,25/10/1979,M,F,20000,0,Bachelors,Clerical,Y
11367,22/02/1979,M,M,20000,0,Bachelors,Clerical,Y
11368,25/11/1978,S,M,10000,1,High School,Manual,N
11369,04/08/1978,M,F,20000,0,Bachelors,Clerical,N
11370,01/04/1978,M,F,20000,0,Bachelors,Clerical,Y
11371,27/05/1978,M,F,20000,0,Bachelors,Clerical,Y
11372,15/05/1978,S,F,20000,0,Bachelors,Clerical,Y
11373,20/09/1943,M,F,30000,1,Bachelors,Clerical,Y
11374,28/06/1943,S,M,30000,1,Bachelors,Clerical,Y
11375,09/05/1943,M,M,30000,1,Bachelors,Clerical,Y
11376,10/06/1943,S,M,40000,1,Graduate Degree,Clerical,Y
11377,23/02/1961,M,M,30000,4,Graduate Degree,Clerical,Y
11378,22/05/1960,S,F,10000,1,High School,Manual,N
11379,18/11/1959,M,M,10000,1,High School,Manual,Y
11380,02/03/1959,S,M,20000,2,Partial College,Manual,Y
11381,22/08/1959,M,F,20000,2,Partial College,Manual,Y
11382,19/01/1958,M,M,20000,2,Partial College,Manual,Y
11384,16/10/1960,M,F,30000,3,Bachelors,Clerical,Y
11385,11/08/1960,S,M,30000,3,Bachelors,Clerical,Y
11387,02/06/1959,S,F,40000,3,Graduate Degree,Clerical,Y
11388,24/07/1959,M,M,40000,3,Graduate Degree,Clerical,Y
11389,24/04/1970,S,M,10000,1,High School,Manual,N
11390,19/10/1970,S,F,10000,1,High School,Manual,N
11391,27/12/1970,S,F,10000,2,High School,Manual,Y
11392,07/02/1970,S,M,10000,2,High School,Manual,Y
11393,17/01/1969,S,M,10000,2,High School,Manual,Y
11394,23/10/1969,S,M,10000,2,High School,Manual,Y
11395,18/10/1970,S,F,30000,0,Bachelors,Clerical,Y
11396,05/10/1969,M,M,10000,2,High School,Manual,N
11397,04/06/1969,S,F,20000,0,Partial College,Manual,N
11398,09/09/1969,S,M,30000,0,Bachelors,Clerical,Y
11399,04/08/1969,S,F,30000,1,Bachelors,Clerical,Y
11400,19/04/1969,S,M,40000,0,Graduate Degree,Clerical,Y
11401,26/08/1969,M,F,40000,0,Graduate Degree,Clerical,Y
11402,20/11/1969,M,F,40000,0,Graduate Degree,Clerical,Y
11403,09/01/1969,S,F,40000,0,Graduate Degree,Clerical,Y
11404,01/01/1952,S,F,10000,3,Partial College,Manual,N
11405,17/02/1952,S,F,10000,3,Partial College,Manual,N
11406,03/07/1952,M,F,20000,2,Partial College,Manual,Y
11407,02/04/1952,M,M,20000,2,Partial College,Manual,Y
11408,14/05/1953,M,M,10000,2,High School,Manual,N
11409,05/03/1968,S,F,10000,2,High School,Manual,Y
11410,25/08/1968,M,M,20000,1,Partial College,Manual,Y
11411,12/02/1954,M,M,80000,3,Partial College,Professional,N
11412,09/04/1954,S,F,80000,4,Partial College,Professional,Y
11413,15/04/1954,M,F,80000,4,Partial College,Professional,N
11414,18/03/1954,S,M,80000,4,Partial College,Professional,Y
11415,05/06/1944,S,M,90000,5,Partial College,Professional,N
11416,19/03/1945,M,F,60000,3,Partial High School,Skilled Manual,Y
11417,26/02/1945,M,F,70000,5,High School,Professional,Y
11418,09/02/1945,S,M,90000,5,Partial College,Professional,N
11419,18/02/1945,M,M,150000,3,Graduate Degree,Management,Y
11420,12/07/1946,M,M,100000,2,Bachelors,Management,Y
11421,19/07/1946,M,F,110000,3,Bachelors,Management,Y
11422,01/09/1946,M,M,170000,4,Bachelors,Management,Y
11423,05/11/1954,M,F,80000,4,Partial College,Professional,N
11424,07/12/1953,M,F,80000,4,Partial College,Professional,Y
11425,06/08/1954,M,F,90000,4,High School,Professional,Y
11426,02/10/1953,M,M,110000,3,Bachelors,Management,Y
11427,18/12/1953,M,F,110000,2,Partial College,Professional,Y
11428,22/08/1953,S,F,120000,2,Bachelors,Management,Y
11429,16/07/1952,M,M,80000,4,Partial College,Professional,Y
11430,24/03/1952,M,F,90000,4,High School,Professional,Y
11431,27/10/1952,M,M,110000,4,Partial College,Professional,Y
11432,11/09/1951,M,F,80000,4,High School,Professional,Y
11433,02/09/1951,M,M,80000,5,High School,Professional,N
11434,06/05/1951,M,M,170000,5,Partial College,Professional,Y
11435,06/03/1950,S,F,100000,3,Partial College,Management,Y
11436,18/09/1950,M,F,160000,3,Partial College,Management,N
11437,17/12/1949,M,M,90000,4,High School,Management,Y
11438,14/10/1949,M,F,130000,4,High School,Management,Y
11439,17/05/1948,M,F,90000,4,High School,Management,N
11440,27/09/1947,M,M,80000,5,Partial High School,Skilled Manual,N
11441,12/06/1947,M,F,90000,5,Partial High School,Skilled Manual,N
11442,14/11/1947,M,M,90000,5,Partial High School,Skilled Manual,Y
11443,22/05/1976,S,F,60000,0,Bachelors,Professional,N
11444,28/04/1976,M,F,70000,0,Bachelors,Professional,Y
11445,21/07/1974,S,F,70000,0,Bachelors,Professional,N
11446,12/08/1974,S,F,70000,0,Bachelors,Professional,N
